Temporal Dark Patterns Present,Monetary Dark Patterns Present,Social Dark Patterns Present,Psychological Dark Patterns Present,Temporal Dark Patterns Absence,Monetary Dark Patterns Absence,Social Dark Patterns Absence,Psychological Dark Patterns Absence
5,7,2,5,2,4,5,2
18,38,17,21,17,15,18,11
11,22,11,11,10,10,9,7
72,94,93,117,64,99,59,37
10,20,11,8,8,5,8,7
17,18,8,5,2,8,11,8
5,7,1,4,1,3,4,2
13,20,11,12,8,11,10,9
14,42,12,25,19,15,14,2
5,6,2,4,0,4,4,2
5,5,2,5,2,4,4,0
5,6,2,4,0,4,4,2
4,7,3,3,1,3,3,3
4,6,3,4,1,3,4,3
16,13,14,11,3,18,7,8
14,21,7,14,5,8,14,7
10,15,0,9,2,6,7,3
10,9,6,10,4,9,6,4
146,197,86,120,67,109,119,69
31,49,19,30,18,27,23,19
38,34,9,22,4,24,27,12
27,32,5,21,6,17,16,13
11,12,3,10,3,7,11,4
36,67,38,40,32,37,29,27
7,14,7,6,6,7,5,5
8,14,8,7,6,8,6,7
5,6,3,2,2,4,2,2
8,12,4,4,4,5,3,3
46,59,18,27,13,28,37,23
416,378,429,387,318,312,329,280
314,517,199,509,158,435,426,168
4,7,3,3,3,3,3,3
19,23,14,13,7,15,14,14
29,31,13,23,11,21,21,12
5,5,0,0,2,1,0,0
5,6,4,3,2,5,3,4
5,5,3,5,2,6,4,2
14,19,12,12,7,14,9,9
4,4,4,6,3,7,3,1
5,5,4,4,2,6,3,3
2,5,4,7,4,6,3,0
4,2,0,4,1,0,0,1
5,10,1,2,2,1,6,5
6,7,0,6,1,4,7,1
10,16,7,12,8,7,12,3
7,4,0,4,0,7,0,3
4,10,0,5,3,1,7,2
6,7,0,6,1,4,7,1
9,13,6,8,5,9,8,6
417,453,209,506,313,372,470,116
31,52,19,26,23,23,26,18
17,26,1,14,6,8,15,4
14,16,9,7,6,9,10,7
6,10,5,7,4,5,5,4
15,27,14,14,13,14,13,12
8,7,3,4,2,3,4,2
4,5,3,4,3,2,4,3
5,5,2,4,2,6,4,0
4,4,2,3,1,2,2,3
0,4,3,4,0,1,2,1
81,124,41,86,50,78,80,48
235,519,387,361,447,330,195,251
31,59,26,39,30,35,37,20
0,4,5,6,0,6,2,1
24,34,6,21,10,20,22,13
12,13,3,7,2,9,11,7
5,14,6,11,9,8,8,3
7,13,6,9,7,9,8,5
9,18,1,8,5,4,13,5
5,11,6,3,4,4,3,5
48,71,26,43,27,45,43,28
48,100,72,74,73,53,61,54
15,21,1,9,3,9,13,7
7,7,5,8,0,9,5,3
4,6,2,3,1,5,3,2
10,18,12,10,11,11,9,8
9,16,8,9,8,9,8,6
14,27,20,14,15,19,9,13
14,20,16,17,13,22,11,8
8,12,6,5,4,9,5,6
5,8,1,2,1,3,4,5
15,18,2,14,4,12,17,6
65,62,33,49,23,68,53,31
90,195,70,91,87,91,116,82
4,8,3,2,3,3,4,5
5,9,0,4,2,2,7,3
4,7,3,3,2,4,4,4
18,20,16,16,11,17,13,12
5,6,2,4,2,5,5,3
7,13,6,8,6,9,8,6
6,5,3,3,1,6,4,4
